net balance,S&P 500,SP,BofA AAA US ,BofA,MCSI REIT Index,MCSI
-2.974200118,1413.94,0.33,437.410,0.80,"1,423.65",-0.04
-2.189550262,1418.07,0.29,437.150,-0.06,"1,387.10",-2.57
-2.238564763,1418.55,0.03,435.350,-0.41,"1,417.02",2.16
3.959446655,1427.84,0.65,432.530,-0.65,"1,416.64",-0.03
-2.202612681,1428.48,0.04,432.490,-0.01,"1,413.56",-0.22
-2.252220372,1419.45,-0.63,433.950,0.34,"1,401.43",-0.86
2.023124575,1413.58,-0.41,434.840,0.21,"1,422.86",1.53
-2.258423381,1430.36,1.19,431.080,-0.86,"1,408.38",-1.02
-2.310606662,1446.79,1.15,434.360,0.76,"1,382.48",-1.84
1.776209435,1435.81,-0.76,433.240,-0.26,"1,386.14",0.26
-4.647959469,1443.69,0.55,435.590,0.54,"1,384.81",-0.10
-4.874525436,1430.15,-0.94,437.380,0.41,"1,374.12",-0.77
3.848141814,1426.66,-0.24,435.650,-0.40,"1,368.65",-0.40
-4.934427525,#N/A,#N/A,438.250,0.60,"1,363.12",-0.40
-2.595275764,1419.83,#N/A,438.910,0.15,"1,370.93",0.57
-3.730194914,1418.10,-0.12,#N/A,#N/A,"1,376.53",0.41
2.33173175,1402.43,-1.10,434.510,#N/A,"1,386.44",0.72
2.479216838,1426.19,1.69,434.730,0.05,"1,375.73",-0.77
-2.639169453,#N/A,#N/A,435.360,0.14,"1,381.34",0.41
-2.710709675,1462.42,#N/A,434.650,-0.16,"1,382.79",0.10
-3.900731039,1459.37,-0.21,435.660,0.23,"1,390.80",0.58
3.497193751,1466.47,0.49,436.910,0.29,"1,360.91",-2.15
-2.801362509,1461.89,-0.31,434.100,-0.64,"1,385.05",1.77
2.043691362,1457.15,-0.32,433.260,-0.19,"1,387.93",0.21
-5.648758009,1461.02,0.27,433.770,0.12,"1,398.47",0.76
-5.986946107,1472.12,0.76,436.850,0.71,"1,417.26",1.34
6.650298371,1472.05,0.00,435.650,-0.27,"1,412.80",-0.31
5.242926357,1470.68,-0.09,435.950,0.07,"1,417.46",0.33
-5.673645517,1472.34,0.11,438.440,0.57,"1,406.20",-0.79
3.71452699,1472.63,0.02,436.390,-0.47,"1,403.42",-0.20
4.705492619,1480.94,0.56,437.010,0.14,"1,390.10",-0.95
-2.769428115,1485.98,0.34,436.630,-0.09,"1,371.66",-1.33
-3.987634018,#N/A,#N/A,435.150,-0.34,"1,372.39",0.05
2.149715552,1492.56,#N/A,431.760,-0.78,"1,376.45",0.30
3.447130572,1494.81,0.15,430.720,-0.24,"1,359.33",-1.24
4.730419531,1494.82,0.00,431.290,0.13,"1,333.59",-1.89
8.699757801,1502.96,0.54,432.470,0.27,"1,323.07",-0.79
5.150590149,1500.18,-0.18,432.150,-0.07,"1,328.75",0.43
-4.690523714,1507.84,0.51,431.920,-0.05,"1,323.80",-0.37
-2.460680667,1501.96,-0.39,429.650,-0.53,"1,323.51",-0.02
1.364862247,1498.11,-0.26,428.840,-0.19,"1,307.78",-1.19
3.555064479,1513.17,1.01,430.060,0.28,"1,309.03",0.10
4.049598279,1495.71,-1.15,430.890,0.19,"1,295.65",-1.02
-2.309810498,1511.29,1.04,432.650,0.41,"1,300.72",0.39
2.692816469,1512.12,0.05,432.800,0.03,"1,299.01",-0.13
2.404414156,1509.39,-0.18,431.370,-0.33,"1,298.73",-0.02
-2.248364173,1517.93,0.57,431.390,0.00,"1,283.69",-1.16
-2.30007831,1517.01,-0.06,430.520,-0.20,"1,265.66",-1.40
-2.354227383,1519.43,0.16,431.230,0.16,"1,297.64",2.53
-2.410987511,1520.33,0.06,432.830,0.37,"1,315.11",1.35
2.081417619,1521.38,0.07,433.530,0.16,"1,316.36",0.10
-4.840356403,1519.79,-0.10,433.720,0.04,"1,300.65",-1.19
7.019458652,#N/A,#N/A,430.400,-0.77,"1,287.59",-1.00
11.32782604,1530.94,#N/A,429.540,-0.20,"1,312.74",1.95
-2.134656794,1511.95,-1.24,431.660,0.49,"1,318.69",0.45
-2.181218319,1502.42,-0.63,432.100,0.10,"1,323.20",0.34
1.238809085,1515.60,0.88,432.610,0.12,"1,318.11",-0.38
-2.202570708,1487.85,-1.83,433.770,0.27,"1,306.72",-0.86
-2.252176487,1496.94,0.61,432.680,-0.25,"1,310.78",0.31
8.294645408,1515.99,1.27,429.540,-0.73,"1,310.05",-0.06
-2.978628744,1514.68,-0.09,431.570,0.47,"1,305.18",-0.37
1.847507121,1518.20,0.23,431.760,0.04,"1,300.68",-0.34
-2.153131371,1525.20,0.46,429.460,-0.53,"1,308.87",0.63
-4.401022539,1539.79,0.96,427.650,-0.42,"1,299.11",-0.75
-4.603629302,1541.46,0.11,426.370,-0.30,"1,287.04",-0.93
7.12732183,1544.26,0.18,427.360,0.23,"1,282.45",-0.36
-2.252362301,1551.18,0.45,427.360,0.00,"1,280.53",-0.15
-2.304262644,1556.22,0.32,429.270,0.45,"1,258.72",-1.70
-4.717222484,1552.48,-0.24,431.140,0.44,"1,269.43",0.85
-2.475380445,1554.52,0.13,429.940,-0.28,"1,259.79",-0.76
-2.538210819,1563.23,0.56,428.600,-0.31,"1,254.09",-0.45
-2.604313794,1560.70,-0.16,430.790,0.51,"1,255.06",0.08
3.819556771,1552.10,-0.55,429.030,-0.41,"1,259.77",0.38
-2.575576293,1548.34,-0.24,426.280,-0.64,"1,258.19",-0.13
-5.287331852,1558.71,0.67,426.870,0.14,"1,252.31",-0.47
-2.791248497,1545.80,-0.83,424.070,-0.66,"1,251.50",-0.06
2.156297607,1556.89,0.72,423.100,-0.23,"1,226.25",-2.02
-3.935102307,1551.69,-0.33,423.740,0.15,"1,238.90",1.03
2.197246754,1563.77,0.78,424.450,0.17,"1,237.44",-0.12
-5.726035912,1562.85,-0.06,426.470,0.48,"1,245.87",0.68
-3.036912666,1569.19,0.41,425.300,-0.27,"1,224.97",-1.68
-6.264059343,#N/A,#N/A,426.480,0.28,"1,213.29",-0.95
3.062888342,1562.17,#N/A,425.460,-0.24,"1,217.89",0.38
4.160608875,1570.25,0.52,427.000,0.36,"1,219.84",0.16
-3.112532583,1553.69,-1.05,426.940,-0.01,"1,212.97",-0.56
-3.212523421,1559.98,0.40,427.530,0.14,"1,233.75",1.71
1.774490256,1553.28,-0.43,428.260,0.17,"1,245.31",0.94
-3.261280844,1563.07,0.63,428.260,0.00,"1,245.03",-0.02
-4.719716388,1568.61,0.35,427.480,-0.18,"1,254.75",0.78
5.569420273,1587.73,1.22,428.560,0.25,"1,238.11",-1.33
3.656244664,1593.37,0.36,428.370,-0.04,"1,215.72",-1.81
7.054557448,1588.85,-0.28,428.430,0.01,"1,209.02",-0.55
-4.228380809,1552.36,-2.30,430.060,0.38,"1,197.45",-0.96
3.019849398,1574.57,1.43,430.700,0.15,"1,193.40",-0.34
-4.285646568,1552.01,-1.43,431.780,0.25,"1,179.18",-1.19
4.25888274,1541.61,-0.67,431.500,-0.06,"1,164.17",-1.27
4.607270805,1555.25,0.88,428.220,-0.76,"1,176.18",1.03
-2.932488439,1562.50,0.47,430.130,0.45,"1,178.36",0.19
-3.021081299,1578.78,1.04,430.520,0.09,"1,186.59",0.70
-6.230387675,1578.79,0.00,428.460,-0.48,"1,180.60",-0.50
10.13577835,1585.16,0.40,426.190,-0.53,"1,197.52",1.43
6.581321181,1582.24,-0.18,425.370,-0.19,"1,221.16",1.97
-2.830175908,1593.61,0.72,425.740,0.09,"1,210.85",-0.84
-5.825215666,1597.57,0.25,425.210,-0.12,"1,197.27",-1.12
2.835037566,1582.70,-0.93,424.380,-0.20,"1,185.69",-0.97
5.996211848,1597.59,0.94,427.820,0.81,"1,180.77",-0.41
-2.837369678,1614.42,1.05,425.910,-0.45,"1,187.87",0.60
-2.920227323,1617.50,0.19,428.180,0.53,"1,189.73",0.16
5.514794632,1625.96,0.52,427.830,-0.08,"1,198.79",0.76
1.756827076,1632.69,0.41,427.740,-0.02,"1,200.21",0.12
3.595426952,1626.67,-0.37,429.180,0.34,"1,196.59",-0.30
3.470642535,1633.70,0.43,430.110,0.22,"1,187.11",-0.79
-2.613685113,1633.77,0.00,429.770,-0.08,"1,181.40",-0.48
-5.367664062,1650.34,1.01,429.200,-0.13,"1,175.10",-0.53
7.82753203,1658.78,0.51,428.370,-0.19,"1,170.05",-0.43
1.724177413,1650.47,-0.50,431.590,0.75,"1,162.88",-0.61
-2.585603456,1667.47,1.03,431.320,-0.06,"1,163.71",0.07
2.433045407,1666.29,-0.07,430.120,-0.28,"1,159.23",-0.38
-2.591186607,1669.16,0.17,432.130,0.47,"1,137.01",-1.92
-2.660115154,1655.35,-0.83,430.950,-0.27,"1,150.51",1.19
-2.732811076,1650.51,-0.29,432.100,0.27,"1,142.76",-0.67
2.109885116,1649.60,-0.06,433.110,0.23,"1,161.98",1.68
-2.751537632,#N/A,#N/A,433.890,0.18,"1,152.26",-0.84
-2.829389344,1660.06,#N/A,432.810,-0.25,"1,146.39",-0.51
1.742087481,1648.36,-0.70,433.530,0.17,"1,143.47",-0.25
-5.723835361,1654.41,0.37,432.310,-0.28,"1,150.77",0.64
2.055404747,1630.74,-1.43,431.530,-0.18,"1,127.94",-1.98
3.244948309,1640.42,0.59,433.760,0.52,"1,133.92",0.53
-5.762094898,1631.38,-0.55,433.660,-0.02,"1,133.92",0.00
4.430734194,1608.90,-1.38,434.150,0.11,"1,121.38",-1.11
2.803318957,1622.56,0.85,433.640,-0.12,"1,113.96",-0.66
1.866745727,1643.38,1.28,433.300,-0.08,"1,096.48",-1.57
-2.79548321,1642.81,-0.03,433.370,0.02,"1,092.39",-0.37
-2.875877894,1626.13,-1.02,433.430,0.01,"1,107.05",1.34
6.047341709,1612.52,-0.84,435.100,0.39,"1,097.97",-0.82
5.347485344,1636.36,1.48,436.030,0.21,"1,103.06",0.46
11.73770067,1626.73,-0.59,436.720,0.16,"1,095.38",-0.70
1.920504283,1639.04,0.76,436.350,-0.08,"1,095.28",-0.01
-4.654661228,1651.81,0.78,436.660,0.07,"1,136.61",3.77
-4.881896994,1628.93,-1.39,438.530,0.43,"1,126.69",-0.87
2.282434407,1588.19,-2.50,437.490,-0.24,"1,122.39",-0.38
3.768252009,1592.43,0.27,437.170,-0.07,"1,132.95",0.94
7.847031747,1573.09,-1.21,433.830,-0.76,"1,124.61",-0.74
1.888803901,1588.03,0.95,432.970,-0.20,"1,114.68",-0.88
-2.200367482,1603.26,0.96,422.850,-2.34,"1,124.00",0.84
