S&P 500,SP,BofA AAA US ,BofA,MCSI REIT Index,MCSI
1650.47,-0.50,431.590,0.75,"1,162.88",-0.61
1667.47,1.03,431.320,-0.06,"1,163.71",0.07
1666.29,-0.07,430.120,-0.28,"1,159.23",-0.38
1669.16,0.17,432.130,0.47,"1,137.01",-1.92
1655.35,-0.83,430.950,-0.27,"1,150.51",1.19
1650.51,-0.29,432.100,0.27,"1,142.76",-0.67
1649.60,-0.06,433.110,0.23,"1,161.98",1.68
#N/A,#N/A,433.890,0.18,"1,152.26",-0.84
1660.06,#N/A,432.810,-0.25,"1,146.39",-0.51
1648.36,-0.70,433.530,0.17,"1,143.47",-0.25
1654.41,0.37,432.310,-0.28,"1,150.77",0.64
1630.74,-1.43,431.530,-0.18,"1,127.94",-1.98
1640.42,0.59,433.760,0.52,"1,133.92",0.53
1631.38,-0.55,433.660,-0.02,"1,133.92",0.00
1608.90,-1.38,434.150,0.11,"1,121.38",-1.11
1622.56,0.85,433.640,-0.12,"1,113.96",-0.66
1643.38,1.28,433.300,-0.08,"1,096.48",-1.57
1642.81,-0.03,433.370,0.02,"1,092.39",-0.37
1626.13,-1.02,433.430,0.01,"1,107.05",1.34
1612.52,-0.84,435.100,0.39,"1,097.97",-0.82
1636.36,1.48,436.030,0.21,"1,103.06",0.46
1626.73,-0.59,436.720,0.16,"1,095.38",-0.70
1639.04,0.76,436.350,-0.08,"1,095.28",-0.01
1651.81,0.78,436.660,0.07,"1,136.61",3.77
1628.93,-1.39,438.530,0.43,"1,126.69",-0.87
1588.19,-2.50,437.490,-0.24,"1,122.39",-0.38
1592.43,0.27,437.170,-0.07,"1,132.95",0.94
1573.09,-1.21,433.830,-0.76,"1,124.61",-0.74
1588.03,0.95,432.970,-0.20,"1,114.68",-0.88
1603.26,0.96,422.850,-2.34,"1,124.00",0.84
1613.20,0.62,420.610,-0.53,"1,114.11",-0.88
1606.28,-0.43,413.160,-1.77,"1,120.70",0.59
1614.96,0.54,412.040,-0.27,"1,147.21",2.37
1614.08,-0.05,415.630,0.87,"1,136.87",-0.90
1615.41,0.08,414.050,-0.38,"1,137.78",0.08
#N/A,#N/A,416.220,0.52,"1,110.93",-2.36
1631.89,#N/A,410.240,-1.44,"1,117.14",0.56
1640.46,0.53,406.560,-0.90,"1,117.92",0.07
1652.32,0.72,409.580,0.74,"1,124.42",0.58
1652.62,0.02,405.010,-1.12,"1,130.47",0.54
1675.02,1.36,402.550,-0.61,"1,135.42",0.44
1680.19,0.31,406.610,1.01,"1,145.57",0.89
1682.50,0.14,407.320,0.17,"1,125.83",-1.72
1676.26,-0.37,409.560,0.55,"1,114.25",-1.03
1680.91,0.28,410.020,0.11,"1,120.21",0.53
1689.37,0.50,405.300,-1.15,"1,106.26",-1.25
1692.09,0.16,403.060,-0.55,"1,121.32",1.36
1695.53,0.20,395.870,-1.78,"1,129.73",0.75
1692.39,-0.19,396.060,0.05,"1,132.51",0.25
1685.94,-0.38,398.570,0.63,"1,123.95",-0.76
1690.25,0.26,400.540,0.49,"1,121.29",-0.24
1691.65,0.08,398.920,-0.40,"1,123.37",0.19
1685.33,-0.37,396.340,-0.65,"1,117.70",-0.50
1685.96,0.04,397.890,0.39,"1,145.88",2.52
1685.73,-0.01,401.320,0.86,"1,146.03",0.01
1706.87,1.25,402.180,0.21,"1,128.16",-1.56
1709.67,0.16,402.820,0.16,"1,098.03",-2.67
1707.14,-0.15,398.070,-1.18,"1,116.29",1.66
1697.37,-0.57,396.800,-0.32,"1,116.19",-0.01
1690.91,-0.38,397.190,0.10,"1,088.73",-2.46
1697.48,0.39,396.900,-0.07,"1,040.50",-4.43
1691.42,-0.36,396.940,0.01,"1,050.85",0.99
1689.47,-0.12,396.770,-0.04,"1,049.24",-0.15
1694.16,0.28,399.200,0.61,"1,052.25",0.29
1685.39,-0.52,403.030,0.96,"1,026.55",-2.44
1661.32,-1.43,405.810,0.69,"1,000.55",-2.53
1655.83,-0.33,405.820,0.00,"1,006.20",0.56
1646.06,-0.59,404.820,-0.25,993.43,-1.27
1652.35,0.38,407.220,0.59,"1,018.92",2.57
1642.80,-0.58,407.280,0.01,"1,038.78",1.95
1656.96,0.86,410.800,0.86,"1,056.66",1.72
1663.50,0.39,409.340,-0.36,"1,051.59",-0.48
1656.78,-0.40,410.940,0.39,"1,043.05",-0.81
1630.48,-1.59,412.150,0.29,"1,044.77",0.16
1634.96,0.27,415.070,0.71,"1,037.28",-0.72
1638.17,0.20,415.790,0.17,"1,055.01",1.71
1632.97,-0.32,417.340,0.37,"1,065.71",1.01
#N/A,#N/A,413.800,-0.85,"1,061.50",-0.40
1639.77,#N/A,414.430,0.15,"1,075.45",1.31
1653.08,0.81,417.980,0.86,"1,095.70",1.88
1655.08,0.12,420.170,0.52,"1,090.07",-0.51
1655.17,0.01,420.230,0.01,"1,096.53",0.59
1671.71,1.00,420.940,0.17,"1,076.84",-1.80
1683.99,0.73,421.070,0.03,"1,076.09",-0.07
1689.13,0.31,425.150,0.97,"1,080.31",0.39
1683.42,-0.34,425.550,0.09,"1,074.67",-0.52
1687.99,0.27,426.780,0.29,"1,054.09",-1.92
1697.60,0.57,428.790,0.47,"1,028.87",-2.39
1704.76,0.42,427.370,-0.33,"1,027.26",-0.16
1725.52,1.22,426.510,-0.20,"1,040.86",1.32
1722.34,-0.18,429.050,0.60,"1,015.08",-2.48
1709.91,-0.72,429.190,0.03,995.59,-1.92
1701.84,-0.47,430.830,0.38,991.33,-0.43
1697.42,-0.26,431.680,0.20,"1,022.49",3.14
1692.77,-0.27,432.990,0.30,"1,010.37",-1.19
1698.67,0.35,436.980,0.92,"1,045.04",3.43
1691.75,-0.41,441.080,0.94,"1,068.75",2.27
1681.55,-0.60,445.950,1.10,"1,086.40",1.65
1695.00,0.80,445.950,0.00,"1,082.00",-0.41
1693.87,-0.07,445.960,0.00,"1,074.62",-0.68
1678.66,-0.90,445.530,-0.10,"1,047.35",-2.54
1690.50,0.71,445.980,0.10,"1,054.69",0.70
1676.12,-0.85,#N/A,#N/A,"1,068.16",1.28
1655.45,-1.23,447.040,#N/A,"1,059.76",-0.79
1656.40,0.06,448.470,0.32,"1,075.26",1.46
1692.56,2.18,449.460,0.22,"1,077.17",0.18
1703.20,0.63,447.980,-0.33,"1,088.28",1.03
1710.14,0.41,#N/A,#N/A,"1,068.63",-1.81
1698.06,-0.71,444.430,#N/A,"1,068.53",-0.01
1721.54,1.38,444.160,-0.06,"1,080.46",1.12
1733.15,0.67,439.990,-0.94,"1,074.62",-0.54
1744.50,0.65,440.480,0.11,"1,057.17",-1.62
1744.66,0.01,439.310,-0.27,"1,070.11",1.22
1754.67,0.57,440.270,0.22,"1,068.03",-0.19
1746.38,-0.47,441.270,0.23,"1,056.46",-1.08
1752.07,0.33,441.540,0.06,"1,057.19",0.07
1759.77,0.44,441.330,-0.05,"1,043.84",-1.26
1762.11,0.13,439.870,-0.33,"1,063.56",1.89
1771.95,0.56,440.600,0.17,"1,071.38",0.74
1763.31,-0.49,440.800,0.05,"1,061.06",-0.96
1756.54,-0.38,438.390,-0.55,"1,060.17",-0.08
1761.64,0.29,434.130,-0.97,"1,077.61",1.65
1767.93,0.36,433.600,-0.12,"1,068.32",-0.86
1762.97,-0.28,432.220,-0.32,"1,084.12",1.48
1770.49,0.43,432.200,0.00,"1,079.14",-0.46
1747.15,-1.32,435.470,0.76,"1,064.44",-1.36
1770.61,1.34,433.650,-0.42,"1,061.88",-0.24
1771.89,0.07,430.410,-0.75,"1,065.50",0.34
1767.69,-0.24,430.510,0.02,"1,048.79",-1.57
1782.00,0.81,430.510,0.00,"1,061.59",1.22
1790.62,0.48,433.020,0.58,"1,061.27",-0.03
1798.18,0.42,429.470,-0.82,"1,062.76",0.14
1791.53,-0.37,428.070,-0.33,"1,042.14",-1.94
1787.87,-0.20,429.160,0.25,"1,020.98",-2.03
1781.37,-0.36,427.930,-0.29,"1,012.08",-0.87
1795.85,0.81,427.740,-0.04,"1,020.12",0.79
1804.76,0.50,432.520,1.12,"1,026.58",0.63
1802.48,-0.13,435.460,0.68,"1,006.14",-1.99
1802.75,0.01,435.950,0.11,"1,000.49",-0.56
1807.23,0.25,431.810,-0.95,"1,018.57",1.81
#N/A,#N/A,432.010,0.05,"1,004.51",-1.38
1805.81,#N/A,436.180,0.97,"1,020.37",1.58
1800.90,-0.27,433.380,-0.64,"1,006.99",-1.31
1795.15,-0.32,429.710,-0.85,"1,000.39",-0.66
1792.81,-0.13,430.580,0.20,"1,008.17",0.78
1785.03,-0.43,430.840,0.06,"1,003.32",-0.48
1805.09,1.12,426.600,-0.98,"1,012.38",0.90
1808.37,0.18,421.470,-1.20,"1,013.67",0.13
1802.62,-0.32,421.190,-0.07,"1,038.64",2.46
1782.22,-1.13,419.850,-0.32,"1,042.50",0.37
1775.50,-0.38,420.040,0.05,"1,047.09",0.44
1775.32,-0.01,419.210,-0.20,"1,021.64",-2.43
1786.54,0.63,410.420,-2.10,"1,012.49",-0.90
1781.00,-0.31,388.400,-5.37,995.78,-1.65
1810.65,1.66,388.640,0.06,"1,015.34",1.96
1809.60,-0.06,388.380,-0.07,"1,001.16",-1.40
1818.32,0.48,386.800,-0.41,"1,027.12",2.59
1827.99,0.53,389.280,0.64,"1,032.35",0.51
1833.32,0.29,390.500,0.31,"1,030.83",-0.15
#N/A,#N/A,399.240,2.24,"1,059.86",2.82
1842.02,#N/A,401.830,0.65,"1,069.26",0.89
1841.40,-0.03,407.730,1.47,"1,088.02",1.75
1841.07,-0.02,408.740,0.25,"1,063.90",-2.22
1848.36,0.40,418.110,2.29,"1,051.52",-1.16
#N/A,#N/A,417.990,-0.03,"1,013.44",-3.62
1831.98,#N/A,418.210,0.05,"1,081.70",6.74
1831.37,-0.03,418.910,0.17,"1,116.24",3.19
1826.77,-0.25,420.510,0.38,"1,139.07",2.05
1837.88,0.61,419.210,-0.31,"1,108.43",-2.69
1837.49,-0.02,421.030,0.43,"1,063.37",-4.07
