net balance,SP,BofA,MCSI
5.34,0.31,1.01,0.89
-1.35,0.14,0.17,-1.72
4.20,-0.37,0.55,-1.03
1.27,0.28,0.11,0.53
0.31,0.50,-1.15,-1.25
7.07,0.16,-0.55,1.36
2.88,0.20,-1.78,0.75
5.87,-0.19,0.05,0.25
-5.54,-0.38,0.63,-0.76
-0.10,0.26,0.49,-0.24
0.08,0.08,-0.40,0.19
4.85,-0.37,-0.65,-0.50
5.68,0.04,0.39,2.52
-5.61,-0.01,0.86,0.01
3.97,1.25,0.21,-1.56
4.15,0.16,0.16,-2.67
-1.83,-0.15,-1.18,1.66
-2.34,-0.57,-0.32,-0.01
-2.93,-0.38,0.10,-2.46
-6.99,0.39,-0.07,-4.43
7.31,-0.36,0.01,0.99
4.32,-0.12,-0.04,-0.15
3.06,0.28,0.61,0.29
1.13,-0.52,0.96,-2.44
-3.52,-1.43,0.69,-2.53
-1.06,-0.33,0.00,0.56
0.92,-0.59,-0.25,-1.27
-2.09,0.38,0.59,2.57
2.54,-0.58,0.01,1.95
6.18,0.86,0.86,1.72
-1.00,0.39,-0.36,-0.48
-0.62,-0.40,0.39,-0.81
-0.08,-1.59,0.29,0.16
9.71,0.27,0.71,-0.72
-0.15,0.20,0.17,1.71
8.34,-0.32,0.37,1.01
-0.38,#N/A,-0.85,-0.40
1.19,#N/A,0.15,1.31
-0.37,0.81,0.86,1.88
-0.52,0.12,0.52,-0.51
2.81,0.01,0.01,0.59
-1.67,1.00,0.17,-1.80
4.90,0.73,0.03,-0.07
-5.76,0.31,0.97,0.39
-1.72,-0.34,0.09,-0.52
2.27,0.27,0.29,-1.92
-1.11,0.57,0.47,-2.39
-3.08,0.42,-0.33,-0.16
-4.45,1.22,-0.20,1.32
-3.92,-0.18,0.60,-2.48
-2.72,-0.72,0.03,-1.92
0.63,-0.47,0.38,-0.43
-0.64,-0.26,0.20,3.14
0.67,-0.27,0.30,-1.19
3.23,0.35,0.92,3.43
10.82,-0.41,0.94,2.27
5.56,-0.60,1.10,1.65
-1.56,0.80,0.00,-0.41
-3.33,-0.07,0.00,-0.68
-4.52,-0.90,-0.10,-2.54
-0.14,0.71,0.10,0.70
-7.23,-0.85,#N/A,1.28
-2.51,-1.23,#N/A,-0.79
3.50,0.06,0.32,1.46
8.69,2.18,0.22,0.18
2.71,0.63,-0.33,1.03
-6.15,0.41,#N/A,-1.81
3.17,-0.71,#N/A,-0.01
-1.46,1.38,-0.06,1.12
-5.80,0.67,-0.94,-0.54
2.41,0.65,0.11,-1.62
0.03,0.01,-0.27,1.22
-0.08,0.57,0.22,-0.19
-3.76,-0.47,0.23,-1.08
0.16,0.33,0.06,0.07
-2.93,0.44,-0.05,-1.26
2.19,0.13,-0.33,1.89
-0.34,0.56,0.17,0.74
-0.64,-0.49,0.05,-0.96
2.65,-0.38,-0.55,-0.08
-2.21,0.29,-0.97,1.65
0.00,0.36,-0.12,-0.86
-0.44,-0.28,-0.32,1.48
-0.99,0.43,0.00,-0.46
-4.02,-1.32,0.76,-1.36
2.79,1.34,-0.42,-0.24
0.00,0.07,-0.75,0.34
-2.04,-0.24,0.02,-1.57
2.97,0.81,0.00,1.22
2.25,0.48,0.58,-0.03
0.00,0.42,-0.82,0.14
0.00,-0.37,-0.33,-1.94
3.43,-0.20,0.25,-2.03
1.29,-0.36,-0.29,-0.87
5.34,0.81,-0.04,0.79
-1.79,0.50,1.12,0.63
0.00,-0.13,0.68,-1.99
