good_date,net balance,SP,BofA,MCSI
2009-05-10,-1.79,0.5,1.12,0.63
2009-05-11,0,-0.13,0.68,-1.99
2009-05-12,0,0.01,0.11,-0.56
2009-05-13,1.05,0.25,-0.95,1.81
2009-05-14,0,#N/A,0.05,-1.38
2009-05-17,-1.8,#N/A,0.97,1.58
2009-05-18,-0.87,-0.27,-0.64,-1.31
2009-05-19,0,-0.32,-0.85,-0.66
2009-05-21,-1.85,-0.13,0.2,0.78
2009-05-22,0,-0.43,0.06,-0.48
2009-05-23,1.66,1.12,-0.98,0.9
2009-05-24,-0.93,0.18,-1.2,0.13
2009-05-26,-0.77,-0.32,-0.07,2.46
2009-05-27,-1.89,-1.13,-0.32,0.37
2009-05-30,0,-0.38,0.05,0.44
2009-05-31,1.39,-0.01,-0.2,-2.43
2009-06-02,0,0.63,-2.1,-0.9
2009-06-04,0,-0.31,-5.37,-1.65
2009-06-06,0,1.66,0.06,1.96
2009-06-09,1.24,-0.06,-0.07,-1.4
2009-06-12,5.02,0.48,-0.41,2.59
2009-10-01,0.89,0.53,0.64,0.51
2009-10-02,2.18,0.29,0.31,-0.15
2009-10-03,-1.5,#N/A,2.24,2.82
2009-10-05,0.81,#N/A,0.65,0.89
2009-10-06,1.29,-0.03,1.47,1.75
2009-10-07,-3.44,-0.02,0.25,-2.22
2009-10-08,1.36,0.4,2.29,-1.16
2009-10-09,0.79,#N/A,-0.03,-3.62
2009-10-10,1.92,#N/A,0.05,6.74
2009-10-11,1.23,-0.03,0.17,3.19
2009-10-12,0,-0.25,0.38,2.05
2009-10-13,0.64,0.61,-0.31,-2.69
2009-10-14,-1.68,-0.02,0.43,-4.07
2009-10-15,0.52,0.03,0.04,0.55
2009-10-16,-0.96,0.23,0,-3.66
2009-10-17,0.22,-1.26,-0.15,-0.81
2009-10-19,0.91,1.08,0.43,-2.42
2009-10-20,-1.13,0.52,-0.65,1.47
2009-10-21,-1.27,-0.13,-1.01,-0.03
2009-10-22,0.6,-0.39,-0.11,-1.64
